0.0000,0.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,0.0000
0.0010,0.0000,99.9985,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,99.9985,0.0000
100.0010,0.0000,43.9158,74.7629,90.7197,97.0141,98.5364,97.0141,90.7197,74.7629,43.9158,0.0000
200.0010,0.0000,31.7671,58.4013,77.0532,87.5174,90.8152,87.5174,77.0532,58.4013,31.7671,0.0000
300.0010,0.0000,25.8518,48.6107,65.9555,76.6356,80.2194,76.6356,65.9555,48.6107,25.8518,0.0000
400.0010,0.0000,21.8680,41.4339,56.7543,66.4579,69.7733,66.4579,56.7543,41.4339,21.8680,0.0000
500.0010,0.0000,18.7449,35.6084,48.9314,57.4468,60.3728,57.4468,48.9314,35.6084,18.7449,0.0000
600.0010,0.0000,16.1404,30.6873,42.2145,49.6043,52.1483,49.6043,42.2145,30.6873,16.1404,0.0000
700.0010,0.0000,13.9187,26.4711,36.4277,42.8171,45.0180,42.8171,36.4277,26.4711,13.9187,0.0000
800.0010,0.0000,12.0090,22.8414,31.4366,36.9541,38.8551,36.9541,31.4366,22.8414,12.0090,0.0000
900.0010,0.0000,10.3631,19.7114,27.1299,31.8926,33.5337,31.8926,27.1299,19.7114,10.3631,0.0000
1000.0010,0.0000,8.9433,17.0110,23.4135,27.5240,28.9404,27.5240,23.4135,17.0110,8.9433,0.0000
1100.0010,0.0000,7.7181,14.6807,20.2062,23.7537,24.9761,23.7537,20.2062,14.6807,7.7181,0.0000
1200.0010,0.0000,6.6608,12.6696,17.4383,20.4999,21.5548,20.4999,17.4383,12.6696,6.6608,0.0000
1250.8210,0.0000,6.1803,11.7557,16.1803,19.0211,20.0000,19.0211,16.1803,11.7557,6.1803,0.0000
